title,content,address,label,user_name,user_id,like_count,collect_count,comment_count,share_count,create_time,post_id,ip_localtion,post_image,post_type
,     ,https://www.xiaohongshu.com/user/profile/67848aaa000000000801bbea?xsec_token=ABtvPtwbTu4HUSyJ_tUKgWvni_b-z7UFALPo8X5QslQR8=&xsec_source=pc_note,yns#tiktok#tiktokrefugee#refugee#tgif#dance,lili,67848aaa000000000801bbea,2万,668,3376,351,1/13/2025 23:36,678532f8000000001800ca5d,U.S.,https://sns-img-qc.xhscdn.com/1040g00831cjomtju10005ps4hal23evaskckl08?imageView2/format/png,video
TikTok Refugee,"Xièxiè, thank you for the warm welcome   ",https://www.xiaohongshu.com/user/profile/6784e795000000000801f896?xsec_token=ABtvPtwbTu4HUSyJ_tUKgWvo5b1loBpnAyrWjYZwluzBY=&xsec_source=pc_note,USA#tiktok#learnanewlanguage,Jeremy F.,6784e795000000000801f896,2.8万,478,5592,245,1/13/2025 20:03,678500fc000000001800e34c,U.S.,https://sns-img-hw.xhscdn.com/1040g2sg31cjijkjg0u705ps4suai3u4mdmg4lho?imageView2/format/png,video
"Hey, TikTok refugee here 😂🩵","我想在 2025 年读的 25 本书
  ",https://www.xiaohongshu.com/user/profile/67844a02000000000803d4fe?xsec_token=ABtvPtwbTu4HUSyJ_tUKgWvtc9WBzpQIALV1TPDelcE_Q=&xsec_source=pc_note,booktok#books#reader,Trini 📚🦋🎧,67844a02000000000803d4fe,2.5万,1384,5961,775,1/13/2025 7:12,67844c40000000002002e370,U.S.,https://sns-img-qc.xhscdn.com/1040g00831cishlgp0c005ps498127l7u377ftd0?imageView2/format/png,video
Hi TikTok Refugees,"我的快乐蛐蛐笼没啦啦😭
  ",https://www.xiaohongshu.com/user/profile/65867d2a000000001c03c743?xsec_token=ABhKFvp5viW-bmiPGwpjrC1hJx6ZclpEsG3deICBx1oWU=&xsec_source=pc_note,tiktokrefugee#tiktokban#随便发着玩玩,威力Willie(｡ì _ í｡),65867d2a000000001c03c743,2.5万,945,4181,5231,1/13/2025 9:49,678471430000000020024b84,U.S.,https://sns-img-qn.xhscdn.com/1040g2sg31cj126kn0e705pc6fkl77hq3d521pe8?imageView2/format/png,video
翻译：来回rednote和谷歌翻译来阅读评论,"Dedicated to figuring this out 🤌
	
Follow me peeps! 💕
	
       ",https://www.xiaohongshu.com/user/profile/67844c80000000000801e0e7?xsec_token=ABtvPtwbTu4HUSyJ_tUKgWvvS_6riKO2BZZ7sSfIvMI5Q=&xsec_source=pc_note,skincare#american#vlog#tiktok#tiktokrefugee#makeup#comedy#grwm,MoreSalt,67844c80000000000801e0e7,2.4万,789,3371,647,1/13/2025 7:58,6784570f000000001703b5b3,U.S.,https://sns-img-bd.xhscdn.com/1040g2sg31citrrqjgk705ps49i023o770c1v5uo?imageView2/format/png,video
Don't trust all Americans,#tiktok[话题]# #tiktok_refugee[话题]# #american[话题]# #america[话题]# #usa[话题]# #wise[话题]# #woman[话题]#,https://www.xiaohongshu.com/user/profile/678568de000000000801fe74?xsec_token=ABKpU4VvRv4lDjdHFyEVhU-8tXyjGDtA01XKRW4EB4qAs=&xsec_source=pc_note,tiktok#tiktok_refugee#american#america#usa#wise#woman,Miss Barbara,678568de000000000801fe74,2.4万,1008,2205,96,2/8/2025 12:48,67a6e20a000000002602d38d,U.S.,https://sns-img-qc.xhscdn.com/1040g2sg31dkl5fm016505ps5d3f23vjkg9kh8vo?imageView2/format/png,video
Dancin’ TikTok Refugees 😁,    ,https://www.xiaohongshu.com/user/profile/678524f9000000000803c8d3?xsec_token=AB3M3QnLppS6k151qc2K92l0iVK0opqwzwof1bmWy_-kc=&xsec_source=pc_note,tiktok#dancer#refugee#foryou,Daniel Browning,678524f9000000000803c8d3,2.3万,593,3080,285,1/14/2025 10:54,6785d1d9000000000203d276,U.S.,https://sns-img-bd.xhscdn.com/1040g00831ckc3g4b0m005ps54jsi7i6jo7oe5o8?imageView2/format/png,video
Just a tiktok refugee here,"I do not know Chinese/Mandarin, but I know how to use google translator! Heres to hoping the Chinese people welcome all of us tiktok refugees with open arms because Im going to miss tiktok so much and arent ready for it to leave us.
       ",https://www.xiaohongshu.com/user/profile/6784459b0000000008018505?xsec_token=ABtvPtwbTu4HUSyJ_tUKgWvp49ejwA9rfNJ1KZnAp3YSE=&xsec_source=pc_note,tiktokban#tiktok#american#你好中国#hellochina#美国烹饪#americanfood#usa,Shandy,6784459b0000000008018505,2.1万,772,4887,1133,1/13/2025 10:15,6784773c0000000020023011,U.S.,https://sns-img-qn.xhscdn.com/1040g00831cj1ki0c0u0g5ps48mdi3185mbf3fng?imageView2/format/png,video
TikTok refugee here,"Hi everybody 👋🏽 looks like we’ll all be jumping ship here. I post about entertainment news, news and some personal stuff. Happy to be here!",https://www.xiaohongshu.com/user/profile/678488d300000000080183d1?xsec_token=ABtvPtwbTu4HUSyJ_tUKgWvnCLwa53WCLGQlo56iUAf2w=&xsec_source=pc_note,,devotedlyyours,678488d300000000080183d1,2.1万,401,4304,292,1/13/2025 12:04,678490c2000000001800f769,U.S.,https://sns-img-qc.xhscdn.com/1040g00831cj4t8ocgk005ps4h39i30uhrboj3b0?imageView2/format/png,video
vi arcane edit,"#tiktokrefugee[话题]# here !! since i dont have tiktok i might post my edits here, hope you like :D
#tiktokrefugee[话题]# 在这里！因为我没有 tiktok，所以我可能会在这里发布我的编辑，希望你喜欢 :D
	
-
-
#arcane[话题]# #arcaneedit[话题]# #edits[话题]# #vi[话题]# #aftereffects[话题]#  #反正没人看随便剪剪[话题]# #剪辑放飞自我[话题]# #带入感很强[话题]#",https://www.xiaohongshu.com/user/profile/660d04df000000000600d55c?xsec_token=AB8GllaUuQT03bHPMjmzv_dD10Sgq5apaDeWtpRU4QQZ4=&xsec_source=pc_note,tiktokrefugee#arcane#arcaneedit#edits#vi#aftereffects#反正没人看随便剪剪#剪辑放飞自我#带入感很强,ellieaefx,660d04df000000000600d55c,1千+,10+,10+,10+,2/10/2025 3:39,67a9046300000000180053d0,U.S.,https://sns-img-bd.xhscdn.com/1040g00831dmo0uu9gu005pgd0jfhhlasq0udvtg?imageView2/format/png,video
Why do people call it fentanol?,#tiktok_refugee[话题]# #tiktokrefugee[话题]#,https://www.xiaohongshu.com/user/profile/67888a2b000000000801ec7d?xsec_token=AB4aayMFgQHQ5nCg_a33IhRJqk15buFkm4YxICivdX9q8=&xsec_source=pc_note,tiktok_refugee#tiktokrefugee,小红薯67B4A514,67888a2b000000000801ec7d,1千+,10+,10+,10+,2/6/2025 20:24,67a4a9e70000000018008e9e,U.S.,https://sns-img-qn.xhscdn.com/1040g2sg31dhsd6tdh07g5ps8hlq23fb563nqeq0?imageView2/format/png,video
,"我请求在《小红书》中提供社交媒体庇护。
	
朋友们好，我非常喜欢《小红书》以及与你们大家的互动。  你们不仅和蔼可亲、风趣幽默，你们的内容也非常精彩！  我都不记得上一次在社交媒体上受到艺术、爱好、美食、文化和实践的如此启发是什么时候了。  这让我的灵魂焕然一新。  带着你们的祝福，我想在小红书上呆上一段时间；我甚至把我的简历从 ""TikTok 难民 ""改成了 ""TikTok 移民""。  感谢大家给我这次经历。#新生[话题]# #新朋友[话题]# #新家[话题]# #新兴趣[话题]# #新爱好[话题]# #新展望[话题]#",https://www.xiaohongshu.com/user/profile/67859af8000000000801e7fd?xsec_token=AB-KXFs4x7c0FonnZr9v_nL5YDT1MTqbmDbxaY7ISj0ck=&xsec_source=pc_note,新生#新朋友#新家#新兴趣#新爱好#新展望,DannyBeans,67859af8000000000801e7fd,1千+,10+,10+,0,2/14/2025 10:36,67aeac400000000018005d33,U.S.,https://sns-img-hw.xhscdn.com/1040g3k031ds8ltaigs005ps5jbs23pvt8alcd2g?imageView2/format/png,normal
如果你们喜欢我的音乐，请给我回应，谢谢,#tiktokban[话题]# #tiktokrefugee[话题]# #music[话题]#,https://www.xiaohongshu.com/user/profile/67952250000000000a03f1af?xsec_token=ABfwcuaKls-t8qK9e0vynkjHCwaQldgF_EzIj6YWcrpzM=&xsec_source=pc_note,tiktokban#tiktokrefugee#music,DAVID BAY,67952250000000000a03f1af,1千+,10+,10+,10+,2/7/2025 19:52,67a5f4130000000017038155,U.S.,https://sns-img-bd.xhscdn.com/1040g2sg31djo90jch0705psl4982nsdffu46o7g?imageView2/format/png,video
挑战满足每人一个要求🥹,#tiktokrefugee[话题]# #tiktok[话题]# #挑战不一样[话题]# #挑战不可能[话题]# #粉丝要求必须满足[话题]# #欢迎来挑战[话题]# #挑战不可能完成的任务[话题]# #奇奇怪怪的挑战[话题]# #母婴[话题]# #宝宝[话题]#,https://www.xiaohongshu.com/user/profile/6561597f000000000403b280?xsec_token=ABHEu0_6D2tqm_BD-g9kkvXYq8mUnjWkfSzwA56qwlXcQ=&xsec_source=pc_note,tiktokrefugee#tiktok#挑战不一样#挑战不可能#粉丝要求必须满足#欢迎来挑战#挑战不可能完成的任务#奇奇怪怪的挑战#母婴#宝宝,Ro.,6561597f000000000403b280,1千+,10+,10+,10+,2/18/2025 18:26,67b460380000000029015310,U.S.,https://sns-img-qc.xhscdn.com/1040g2sg31e1qvi3tge705pb1b5vh7ck0132vu4o?imageView2/format/png,video
Day 35 of only posting Vintage TikToks,"#Tiktokrefugee[话题]# #tiktok[话题]# #meme[话题]# #口語[话题]# #funny[话题]# #英[话题]#
文 #fyp[话题]# #viral[话题]# #英语口语[话题]# #外国人在中国[话题]#",https://www.xiaohongshu.com/user/profile/678707b5000000000803cb43?xsec_token=ABD4MY5Hph5TdUFkjFjzGZRwciwJolfNr9z6jMGh5zVL0=&xsec_source=pc_note,Tiktokrefugee#tiktok#meme#口語#funny#英#fyp#viral#英语口语#外国人在中国,Vintage TikToks,678707b5000000000803cb43,1千+,10+,10+,10+,2/21/2025 12:21,67b7ff43000000002901b68d,U.S.,https://sns-img-qc.xhscdn.com/1040g2sg31e5c4q550m705ps70uqi7iq3jnv024o?imageView2/format/png,video
Time to take notes 🤣,#fyp[话题]# #trend[话题]# #tiktokrefugee[话题]# #viral[话题]#,https://www.xiaohongshu.com/user/profile/67885d48000000000801f2dd?xsec_token=AB4aayMFgQHQ5nCg_a33IhRPnqsz5f06y_pte28Ed_AoA=&xsec_source=pc_note,fyp#trend#tiktokrefugee#viral,DJISLESSTHAN,67885d48000000000801f2dd,1千+,10+,10+,2,2/12/2025 2:36,67ab98a800000000290098c6,U.S.,https://sns-img-hw.xhscdn.com/1040g2sg31dp8d3qs0e905ps8bl423smtl6jbfuo?imageView2/format/png,video
招待我的中国间谍 😆,#meme[话题]# #tiktokrefuge[话题]# #tiktokrefugee[话题]# #usa[话题]# #中国人骨子里的基因[话题]# #我有一个中国胃[话题]# #不同国家不同文化[话题]# #国家[话题]#  #中国人[话题]# #中国人团结起来[话题]#,https://www.xiaohongshu.com/user/profile/678f06eb000000000801437f?xsec_token=ABzy8hDuJgTcPOwFvMaAH-QVVPU67e1ho4lN-XhjKH9Ew=&xsec_source=pc_note,meme#tiktokrefuge#tiktokrefugee#usa#中国人骨子里的基因#我有一个中国胃#不同国家不同文化#国家#中国人#中国人团结起来,Hal-Pal 💜🖤,678f06eb000000000801437f,1千+,10+,10+,6,2/20/2025 10:07,67b68e6e000000000903af97,U.S.,https://sns-img-hw.xhscdn.com/1040g2sg31e3ud4bh0s3g5psf0rli2grvsb3fp8g?imageView2/format/png,video
在小红书上呆了一个月,one month on xiaohongshu #tiktokrefugee[话题]#,https://www.xiaohongshu.com/user/profile/67875353000000000801873a?xsec_token=ABD4MY5Hph5TdUFkjFjzGZR1M_btC5-1vfUwVSrPy-ms8=&xsec_source=pc_note,tiktokrefugee,oblivionroot,67875353000000000801873a,1千+,10+,10+,5,2/17/2025 17:17,67b2febd000000001703add8,U.S.,https://sns-img-qc.xhscdn.com/1040g2sg31e0e19ibgucg5ps7ad9i31pqjq5kk08?imageView2/format/png,video
embarrassing.....,﻿#tiktok[话题]#﻿ ﻿#tiktokrefugee[话题]#﻿ ﻿#video[话题]#﻿ ﻿#funny[话题]#﻿ ﻿#搞笑[话题]#﻿ ﻿#分享[话题]#﻿,https://www.xiaohongshu.com/user/profile/67891f8f000000000403e7eb?xsec_token=AB96D42DNZ83PcKPCPPc3vfe-Yyjx4j_IIXcPeEvrfdwQ=&xsec_source=pc_note,tiktok#tiktokrefugee#video#funny#搞笑#分享,Akamz,67891f8f000000000403e7eb,1万+,1千+,1千+,1千+,2/21/2025 16:20,67b83754000000000603d6a2,U.S.,https://sns-img-qc.xhscdn.com/spectrum/1040g0k031e5iup1hg8005ps93u7h7pvbs8g4teo?imageView2/format/png,video
when they get home。。。,"关于他们对完帐回家后。。。#对账[话题]# #ttrefugee[话题]#
edited and removed all pictures",https://www.xiaohongshu.com/user/profile/54dc2f7ab4c4d66722dbe8c1?xsec_token=ABEWB2zXpmoBgsjQREkY_khHYlZRDQNkicWDdmSeC1r1U=&xsec_source=pc_note,对账#ttrefugee,克莱普斯Collapse,54dc2f7ab4c4d66722dbe8c1,1万+,1千+,10+,10+,1/22/2025 10:28,679057cb000000002503d951,U.S.,https://sns-img-hw.xhscdn.com/1040g00831cuktd5eh000401b26nnlq614i2dbmg?imageView2/format/png,video
你会选择哪一个？,#tiktokrefugee[话题]#,https://www.xiaohongshu.com/user/profile/6455ddbc000000002a00b63d?xsec_token=ABg4AJD9GMdL6s_s53T0o8GlLVBHma5PcUGORt-HUdMDg=&xsec_source=pc_note,tiktokrefugee,JJangE,6455ddbc000000002a00b63d,1万+,10+,10+,10+,2/13/2025 13:11,67ad7ef5000000002803c3c2,U.S.,https://sns-img-qn.xhscdn.com/1040g00831dr3u7s1ge0g5p2lrmuahdhtrm6va38?imageView2/format/png,video
Hello  I’m a TikTok refugee,"Please just let us stay. Ill be clean, quiet, you wont even know im here 😭😭😭  i love makeup and nails, Sylus (秦彻 ) from Love and Deepspace, and fat cats.  I have almost a million followers on Tiktok 😭 Please reunite me with my Chinese spy on tiktok. I miss him. Thank you 😭 we love china ❤️ ",https://www.xiaohongshu.com/user/profile/66e96550000000001d030515?xsec_token=ABg6r_4ldDKiMZCAgIjLu3DUGq-60ML_4MbBV1ohE_6VU=&xsec_source=pc_note,tiktok,Gina Darling,66e96550000000001d030515,1万,563,7388,4472,1/13/2025 10:18,678477fb000000001703d3d0,U.S.,https://sns-img-qc.xhscdn.com/1040g00831cj1onfo0m005pn9cl87e18lkpalego?imageView2/format/png,normal
Hi I’m a TikTok Refugee!,My name is Christina and I love doing woodworking projects! Glad to see everyone coming over and uniting!  ,https://www.xiaohongshu.com/user/profile/67848a64000000000803d248?xsec_token=ABtvPtwbTu4HUSyJ_tUKgWvisJLEPEh-aCXlh4Lvl_8zs=&xsec_source=pc_note,tiktokrefugee#tiktokban,Glamfarmhouse,67848a64000000000803d248,1万,785,1960,755,1/13/2025 12:31,6784972a000000001a01086e,U.S.,https://sns-img-bd.xhscdn.com/1040g2sg31cj5m9bp16705ps4h9i27ki8nsfc7f8?imageView2/format/png,video
TikTok Refugee,"New beginning on here yall.   ＃游戏分享 
 
",https://www.xiaohongshu.com/user/profile/67856046000000000803e194?xsec_token=AB3M3QnLppS6k151qc2K92lzJEa-dgxDC9JmwxcUbQUks=&xsec_source=pc_note,USA#我的日常#refugee#tiktok#周末去哪儿#男士穿搭,Osamason,67856046000000000803e194,1万,676,904,166,1/14/2025 10:44,6785cf880000000017039b2b,U.S.,https://sns-img-qn.xhscdn.com/1040g2sg31ckbqffkgk705ps5c1327ockrs1grog?imageView2/format/png,video
TikTok refugee, ,https://www.xiaohongshu.com/user/profile/6785dfe3000000000803df49?xsec_token=AB3M3QnLppS6k151qc2K92lzXDDJFg6qgW4Wv-ld7tCH4=&xsec_source=pc_note,America#tiktok,October Hamilton,6785dfe3000000000803df49,1万,634,2302,436,1/14/2025 12:18,6785e5b0000000000b022761,U.S.,https://sns-img-qn.xhscdn.com/1040g00831ckeh11e0u005ps5rvhi7nq9ukncqf8?imageView2/format/png,video
我想去中国，有推荐的地方吗？,#tiktok[话题]# #抖音难民[话题]# #风景[话题]#,https://www.xiaohongshu.com/user/profile/6787b7870000000007001995?xsec_token=ABW78lzQ8ziq7gdQKIM_cXcNM55MNEA5yi3IqwmBdtmkM=&xsec_source=pc_note,tiktok#抖音难民#风景,艾琳娜,6787b7870000000007001995,1万,652,4708,105,1/17/2025 22:35,678a6ab4000000001d013fff,U.S.,https://sns-img-bd.xhscdn.com/1040g00831cornbaoh0605ps7mu3ho6clnqkfj80?imageView2/format/png,video
American TikTok refugee/美国 Tiktok 难民,"Hello I’m an American TikTok refugee! Here is why we are flocking here.
  ",https://www.xiaohongshu.com/user/profile/67843d3c000000000801a97a?xsec_token=ABtvPtwbTu4HUSyJ_tUKgWvi9NVQxMgRerhvwUKZlrJU0=&xsec_source=pc_note,tiktokrefugee#american#难民,Ryan Martin,67843d3c000000000801a97a,14.1万,4391,4.5万,5.1万,1/13/2025 9:12,67846897000000001800dd05,U.S.,https://sns-img-qn.xhscdn.com/1040g2sg31cj00beg0k005ps47ku23abqt2hh8do?imageView2/format/png,video
TikTok refugee😛,  ,https://www.xiaohongshu.com/user/profile/678607a700000000080188b4?xsec_token=ABnicVxNlBwr4MRvdoiQ_jUPaXHViR8qdDn0XXK8T8fSQ=&xsec_source=pc_note,crochet#handmadeclothing#fashiondesign,Adri,678607a700000000080188b4,13万,3956,1.7万,3918,1/14/2025 15:29,6786125c000000000b015ca3,U.S.,https://sns-img-qn.xhscdn.com/1040g2sg31ckjvgot0e005ps60uji325knev76a0?imageView2/format/png,video
TikTok refugee😭,"   
",https://www.xiaohongshu.com/user/profile/6784e8fe000000000801dd73?xsec_token=ABtvPtwbTu4HUSyJ_tUKgWvpNK2458f4U9-b35XMhVK78=&xsec_source=pc_note,Tiktok#tiktokrefugee#trending#newfriends#newhere,小红薯6786D1EB,6784e8fe000000000801dd73,13.4万,6290,4947,4815,1/14/2025 1:18,67854afc000000001703e264,U.S.,https://sns-img-qc.xhscdn.com/1040g00831cjq3eam0k2g5ps4t3v23nbjj7h2ru0?imageView2/format/png,video
american fit check!,"tiktok: @jodthemick
#clothes[话题]# #tiktokrefugee[话题]#",https://www.xiaohongshu.com/user/profile/67851533000000000803ee01?xsec_token=AB-KXFs4x7c0FonnZr9v_nLza022PhlNJCxoCvVzAA-tI=&xsec_source=pc_note,clothes#tiktokrefugee,jody,67851533000000000803ee01,10+,10+,10+,0,2/26/2025 22:36,67bf270b000000002503c977,U.S.,https://sns-img-qc.xhscdn.com/1040g00831ecbo9ijge005ps52kpi7rg1980qgko?imageView2/format/png,video
,"Hello! I’m a TikTok refugee, any tips on how I can blend in here?
你好！我是 TikTok 难民，有什么建议可以帮助我融入这里吗？#refugee[话题]# #tiktok[话题]# #tiktok_refugee[话题]# #难民[话题]#",https://www.xiaohongshu.com/user/profile/679f30b2000000000a03cc89?xsec_token=ABfzpKlRgC5mmS_ND2xl1bLAijGM-Gs8J4klDLtcDgSyM=&xsec_source=pc_note,refugee#tiktok#tiktok_refugee#难民,Taryn,679f30b2000000000a03cc89,10+,0,10+,0,2/3/2025 3:12,679fc39a000000001701df10,U.S.,https://sns-img-qn.xhscdn.com/1040g00831ddmrq66h0005psv62p2nj49t2queso?imageView2/format/png,normal
this is so bad,⚠️THIS IS JUST AN EDIT⚠️ #tiktokrefugee[话题]# #tiktokban[话题]# #edit[话题]# #editor[话题]# #kalogerassisters[话题]# #elianakalogeras[话题]# #viral[话题]# #like[话题]# #dontflop[话题]# #videostar[话题]#,https://www.xiaohongshu.com/user/profile/678d4e16000000000e01e96c?xsec_token=AB_kQ2bABZ4PvfE_XgtTKd0WLDqFtiCq-LU5h5s12L930=&xsec_source=pc_note,tiktokrefugee#tiktokban#edit#editor#kalogerassisters#elianakalogeras#viral#like#dontflop#videostar,adoreskalo,678d4e16000000000e01e96c,10+,2,0,0,2/13/2025 9:18,67ad4855000000001701f948,U.S.,https://sns-img-qn.xhscdn.com/1040g00831dqta93c0m005psd9ob3jqbcakhdr20?imageView2/format/png,video
开工红包拿了吗？,开工第一天，你们都在干嘛呢？来一起聊天吧!#打工人日常[话题]##欧美帅哥[话题]##外国人[话题]##美国日常[话题]##Tiktok难民[话题]#,https://www.xiaohongshu.com/user/profile/65b6d3f4000000000d01c702?xsec_token=AB_nxwC8oYnVJLtj3L0JYgTcH1fuwsDN6r8AhNR2HKvbE=&xsec_source=pc_note,打工人日常#欧美帅哥#外国人#美国日常#Tiktok难民,Michael Moaykel,65b6d3f4000000000d01c702,10+,1,10+,1,2/5/2025 11:18,67a2d890000000001701e8d3,U.S.,"https://sns-img-hw.xhscdn.com/1040g2sg31dgn5kgm0s705pdmqfq3bho2mu8ffto?imageView2/format/png
https://sns-img-qc.xhscdn.com/1040g2sg31dgn5kgm0s7g5pdmqfq3bho2n1i36io?imageView2/format/png
https://sns-img-qn.xhscdn.com/1040g2sg31dgn5kgm0s805pdmqfq3bho2jmg4p7o?imageView2/format/png
https://sns-img-qc.xhscdn.com/1040g2sg31dgn5kgm0s8g5pdmqfq3bho28tvbbe8?imageView2/format/png",normal
